item_id,total_buy_user,repurchase_user,repurchase_rate
i406351,16,1,6.25
i309562,18,1,5.56
i207835,19,1,5.26
i307997,19,1,5.26
i505533,20,1,5.0
i300050,21,1,4.76
i404704,21,1,4.76
i502824,21,1,4.76
i202356,21,1,4.76
i603521,21,1,4.76
i204769,21,1,4.76
i608713,21,1,4.76
i604537,22,1,4.55
i604758,22,1,4.55
i607771,22,1,4.55
i608389,22,1,4.55
i204972,22,1,4.55
i509605,22,1,4.55
i402717,22,1,4.55
i208219,22,1,4.55
i604525,23,1,4.35
i609258,23,1,4.35
i605663,23,1,4.35
i200884,23,1,4.35
i309315,23,1,4.35
i402089,23,1,4.35
i202730,23,1,4.35
i501680,23,1,4.35
i200564,23,1,4.35
i609401,23,1,4.35
i502700,24,1,4.17
i306957,24,1,4.17
i204963,24,1,4.17
i404598,24,1,4.17
i404645,24,1,4.17
i203707,24,1,4.17
i400238,24,1,4.17
i607696,24,1,4.17
i308472,24,1,4.17
i203888,25,1,4.0
i408969,25,1,4.0
i601275,25,1,4.0
i209490,25,1,4.0
i400756,25,1,4.0
i205741,25,1,4.0
i603598,25,1,4.0
i302948,25,1,4.0
i608918,25,1,4.0
i301035,25,1,4.0
i200464,25,1,4.0
i608425,25,1,4.0
i300870,26,1,3.85
i307867,26,1,3.85
i500873,26,1,3.85
i509144,26,1,3.85
i606464,26,1,3.85
i206116,26,1,3.85
i308505,26,1,3.85
i203433,26,1,3.85
i600869,26,1,3.85
i400823,26,1,3.85
i202282,26,1,3.85
i405076,27,1,3.7
i206477,27,1,3.7
i409393,27,1,3.7
i203282,27,1,3.7
i604196,27,1,3.7
i402544,27,1,3.7
i208596,27,1,3.7
i404488,27,1,3.7
i401376,27,1,3.7
i301313,27,1,3.7
i408641,27,1,3.7
i301484,27,1,3.7
i402848,28,1,3.57
i305454,28,1,3.57
i203438,28,1,3.57
i508729,28,1,3.57
i404340,28,1,3.57
i506976,28,1,3.57
i506581,28,1,3.57
i607094,28,1,3.57
i506751,28,1,3.57
i301654,28,1,3.57
i501452,28,1,3.57
i502501,28,1,3.57
i507842,28,1,3.57
i404828,28,1,3.57
i306040,28,1,3.57
i304226,28,1,3.57
i501441,28,1,3.57
i409507,28,1,3.57
i502633,29,1,3.45
i402205,29,1,3.45
i403568,29,1,3.45
i500552,29,1,3.45
i605113,29,1,3.45
i400694,29,1,3.45
i306551,29,1,3.45
i200288,29,1,3.45
i304301,29,1,3.45
i409496,29,1,3.45
i306806,29,1,3.45
i507558,29,1,3.45
i407081,30,1,3.33
i207734,30,1,3.33
i206619,30,1,3.33
i504115,30,1,3.33
i404700,30,1,3.33
i401372,30,1,3.33
i206542,30,1,3.33
i300416,30,1,3.33
i207207,30,1,3.33
i200740,30,1,3.33
i402033,30,1,3.33
i602195,30,1,3.33
i204137,30,1,3.33
i404404,30,1,3.33
i301498,30,1,3.33
i606554,30,1,3.33
i602062,30,1,3.33
i503216,30,1,3.33
i606521,30,1,3.33
i601155,30,1,3.33
i205444,30,1,3.33
i509555,31,1,3.23
i203242,31,1,3.23
i409330,31,1,3.23
i409066,31,1,3.23
i302024,31,1,3.23
i306717,31,1,3.23
i509066,31,1,3.23
i505051,31,1,3.23
i305573,31,1,3.23
i405514,31,1,3.23
i200312,31,1,3.23
i209169,31,1,3.23
i202607,31,1,3.23
i505180,32,1,3.13
i205705,32,1,3.13
i200145,32,1,3.13
i505979,32,1,3.13
i502330,32,1,3.13
i508188,32,1,3.13
i504969,32,1,3.13
i302274,32,1,3.13
i304963,32,1,3.13
i304038,32,1,3.13
i202981,32,1,3.13
i509779,32,1,3.13
i600482,33,1,3.03
i201304,33,1,3.03
i400564,33,1,3.03
i607331,33,1,3.03
i506760,33,1,3.03
i609978,33,1,3.03
i607405,33,1,3.03
i509135,33,1,3.03
i508367,33,1,3.03
i602182,34,1,2.94
i502004,34,1,2.94
i602360,34,1,2.94
i400520,34,1,2.94
i200850,34,1,2.94
i602379,34,1,2.94
i603412,34,1,2.94
i202987,34,1,2.94
i403075,34,1,2.94
i607347,34,1,2.94
i503313,35,1,2.86
i402705,35,1,2.86
i201224,35,1,2.86
i201847,35,1,2.86
i508020,35,1,2.86
i609707,35,1,2.86
i603384,35,1,2.86
i207627,35,1,2.86
i302446,35,1,2.86
i501453,35,1,2.86
i406207,36,1,2.78
i207031,36,1,2.78
i307934,36,1,2.78
i402941,36,1,2.78
i203505,36,1,2.78
i605185,36,1,2.78
i401227,37,1,2.7
i200971,37,1,2.7
i601748,37,1,2.7
i300899,38,1,2.63
i402451,38,1,2.63
i309233,39,1,2.56
i504595,43,1,2.33
i406639,25,0,0.0
i408308,36,0,0.0
i602760,24,0,0.0
i606293,26,0,0.0
i204389,24,0,0.0
i205529,24,0,0.0
i605326,35,0,0.0
i303397,25,0,0.0
i306437,27,0,0.0
i401625,20,0,0.0
i309983,25,0,0.0
i400366,31,0,0.0
i400714,29,0,0.0
i304008,28,0,0.0
i503774,27,0,0.0
i202935,21,0,0.0
i602117,28,0,0.0
i607329,30,0,0.0
i308272,30,0,0.0
i409901,23,0,0.0
i201172,27,0,0.0
i506884,27,0,0.0
i408824,26,0,0.0
i305582,35,0,0.0
i506553,31,0,0.0
i504532,34,0,0.0
i407860,29,0,0.0
i406384,25,0,0.0
i407925,28,0,0.0
i203264,13,0,0.0
i400489,27,0,0.0
i401979,30,0,0.0
i209771,33,0,0.0
i201137,28,0,0.0
i603258,35,0,0.0
i501848,20,0,0.0
i203873,32,0,0.0
i504538,32,0,0.0
i301234,37,0,0.0
i506317,26,0,0.0
i302994,37,0,0.0
i605523,28,0,0.0
i202854,35,0,0.0
i603660,30,0,0.0
i303102,23,0,0.0
i307314,33,0,0.0
i504693,25,0,0.0
i209428,36,0,0.0
i302752,32,0,0.0
i200191,20,0,0.0
i604402,30,0,0.0
i607061,28,0,0.0
i608463,24,0,0.0
i301482,29,0,0.0
i408950,22,0,0.0
i309236,23,0,0.0
i606992,26,0,0.0
i309039,31,0,0.0
i205905,20,0,0.0
i300955,25,0,0.0
i207379,25,0,0.0
i308394,25,0,0.0
i505691,25,0,0.0
i303618,29,0,0.0
i403950,31,0,0.0
i502060,29,0,0.0
i301356,34,0,0.0
i501727,30,0,0.0
i607161,32,0,0.0
i609610,26,0,0.0
i400833,36,0,0.0
i306196,30,0,0.0
i400367,34,0,0.0
i406972,32,0,0.0
i204717,36,0,0.0
i601761,34,0,0.0
i404814,26,0,0.0
i602764,26,0,0.0
i205727,30,0,0.0
i604732,35,0,0.0
i608543,33,0,0.0
i209557,30,0,0.0
i306388,17,0,0.0
i504894,26,0,0.0
i207647,32,0,0.0
i305387,29,0,0.0
i500905,41,0,0.0
i304641,28,0,0.0
i501506,24,0,0.0
i309964,29,0,0.0
i502572,26,0,0.0
i203971,32,0,0.0
i208677,34,0,0.0
i604209,35,0,0.0
i308992,24,0,0.0
i304922,20,0,0.0
i407551,24,0,0.0
i504987,25,0,0.0
i303455,30,0,0.0
i204200,25,0,0.0
i509600,19,0,0.0
i501830,31,0,0.0
i305576,33,0,0.0
i509746,31,0,0.0
i306634,28,0,0.0
i507661,24,0,0.0
i401350,37,0,0.0
i600741,34,0,0.0
i302876,30,0,0.0
i607192,31,0,0.0
i408505,33,0,0.0
i607471,21,0,0.0
i206201,25,0,0.0
i304789,21,0,0.0
i503354,31,0,0.0
i607966,23,0,0.0
i206440,28,0,0.0
i405194,25,0,0.0
i600403,31,0,0.0
i201608,20,0,0.0
i303871,26,0,0.0
i603108,28,0,0.0
i408399,28,0,0.0
i402446,30,0,0.0
i505261,22,0,0.0
i309298,32,0,0.0
i305347,30,0,0.0
i607042,29,0,0.0
i600099,36,0,0.0
i602731,20,0,0.0
i302532,37,0,0.0
i508538,30,0,0.0
i306695,24,0,0.0
i202511,33,0,0.0
i505428,22,0,0.0
i401654,23,0,0.0
i607828,23,0,0.0
i309302,31,0,0.0
i504959,25,0,0.0
i209165,23,0,0.0
i505972,23,0,0.0
i405613,29,0,0.0
i202149,27,0,0.0
i202811,32,0,0.0
i207539,29,0,0.0
i500409,23,0,0.0
i202343,27,0,0.0
i408786,32,0,0.0
i305032,28,0,0.0
i407185,24,0,0.0
i300242,29,0,0.0
i508595,31,0,0.0
i406768,24,0,0.0
i408440,29,0,0.0
i606080,28,0,0.0
i601526,27,0,0.0
i605904,31,0,0.0
i401265,32,0,0.0
i604656,29,0,0.0
i605618,18,0,0.0
i402690,28,0,0.0
i303123,24,0,0.0
i404973,22,0,0.0
i505365,27,0,0.0
i205248,28,0,0.0
i306954,18,0,0.0
i503972,14,0,0.0
i309625,24,0,0.0
i408956,24,0,0.0
i508279,31,0,0.0
i200457,34,0,0.0
i202417,26,0,0.0
i206887,20,0,0.0
i302936,25,0,0.0
i502240,19,0,0.0
i401864,29,0,0.0
i505064,28,0,0.0
i604425,31,0,0.0
i308140,28,0,0.0
i504008,25,0,0.0
i304916,29,0,0.0
i205502,37,0,0.0
i402553,27,0,0.0
i607353,23,0,0.0
i307936,28,0,0.0
i207705,29,0,0.0
i306849,24,0,0.0
i209064,26,0,0.0
i405601,28,0,0.0
i603182,31,0,0.0
i606801,27,0,0.0
i301563,27,0,0.0
i607390,34,0,0.0
i404456,36,0,0.0
i403466,29,0,0.0
i209553,32,0,0.0
i409048,35,0,0.0
i203110,33,0,0.0
i600168,27,0,0.0
i505316,24,0,0.0
i504968,30,0,0.0
i500894,26,0,0.0
i309023,26,0,0.0
i505498,31,0,0.0
i602819,24,0,0.0
i206054,37,0,0.0
i306368,33,0,0.0
i500169,27,0,0.0
i507383,21,0,0.0
i601554,30,0,0.0
i306626,32,0,0.0
i508375,34,0,0.0
i208577,31,0,0.0
i507128,22,0,0.0
i406729,22,0,0.0
i408913,28,0,0.0
i208468,31,0,0.0
i209074,30,0,0.0
i209053,36,0,0.0
i206359,31,0,0.0
i209864,29,0,0.0
i508619,32,0,0.0
i506752,28,0,0.0
i605879,25,0,0.0
i203677,31,0,0.0
i208645,36,0,0.0
i305973,36,0,0.0
i606239,31,0,0.0
i305171,33,0,0.0
i303966,33,0,0.0
i602447,29,0,0.0
i501387,26,0,0.0
i307383,23,0,0.0
i608888,23,0,0.0
i509492,29,0,0.0
i304613,21,0,0.0
i300591,26,0,0.0
i406044,24,0,0.0
i508272,31,0,0.0
i403576,26,0,0.0
i609869,25,0,0.0
i401748,36,0,0.0
i409613,33,0,0.0
i408410,20,0,0.0
i402881,23,0,0.0
i306225,36,0,0.0
i202087,29,0,0.0
i207157,32,0,0.0
i307712,25,0,0.0
i306043,25,0,0.0
i402569,29,0,0.0
i502372,27,0,0.0
i605127,26,0,0.0
i407401,24,0,0.0
i608638,34,0,0.0
i603155,26,0,0.0
i600605,31,0,0.0
i604057,29,0,0.0
i506022,23,0,0.0
i504869,23,0,0.0
i401443,31,0,0.0
i506965,24,0,0.0
i202962,26,0,0.0
i206693,23,0,0.0
i200589,32,0,0.0
i402869,33,0,0.0
i303128,29,0,0.0
i207556,30,0,0.0
i609026,21,0,0.0
i507542,29,0,0.0
i503535,28,0,0.0
i408619,22,0,0.0
i408433,39,0,0.0
i207142,22,0,0.0
i506388,31,0,0.0
i608778,31,0,0.0
i601016,23,0,0.0
i208480,27,0,0.0
i308080,21,0,0.0
i401885,24,0,0.0
i507274,27,0,0.0
i609617,21,0,0.0
i603791,28,0,0.0
i201277,42,0,0.0
i509330,34,0,0.0
i507788,20,0,0.0
i608414,32,0,0.0
i504574,29,0,0.0
i506933,25,0,0.0
i608697,36,0,0.0
i203160,27,0,0.0
i607616,32,0,0.0
i609172,26,0,0.0
i501443,16,0,0.0
i208241,28,0,0.0
i209080,23,0,0.0
i400841,27,0,0.0
i409329,40,0,0.0
i503746,36,0,0.0
i400969,36,0,0.0
i508045,28,0,0.0
i204922,23,0,0.0
i407869,31,0,0.0
i203367,24,0,0.0
i302259,28,0,0.0
i208075,32,0,0.0
i303263,27,0,0.0
i408134,21,0,0.0
i607202,36,0,0.0
i609292,33,0,0.0
i409323,31,0,0.0
i601597,22,0,0.0
i403678,32,0,0.0
i502164,22,0,0.0
i607357,21,0,0.0
i405619,17,0,0.0
i606258,28,0,0.0
i303708,29,0,0.0
i408020,28,0,0.0
i400973,42,0,0.0
i406383,26,0,0.0
i308117,21,0,0.0
i508601,34,0,0.0
i503574,28,0,0.0
i207134,26,0,0.0
i409840,28,0,0.0
i504970,26,0,0.0
i308561,22,0,0.0
i604415,34,0,0.0
i401679,28,0,0.0
i300988,32,0,0.0
i300284,35,0,0.0
i505848,26,0,0.0
i507656,23,0,0.0
i508010,32,0,0.0
i508995,26,0,0.0
i305685,26,0,0.0
i508977,28,0,0.0
i406280,34,0,0.0
i409931,30,0,0.0
i404082,23,0,0.0
i402911,23,0,0.0
i605657,28,0,0.0
i209082,20,0,0.0
i302309,38,0,0.0
i201305,32,0,0.0
i207857,28,0,0.0
i402876,34,0,0.0
i502043,24,0,0.0
i203510,27,0,0.0
i205800,25,0,0.0
i501793,40,0,0.0
i206765,31,0,0.0
i500349,28,0,0.0
i600545,19,0,0.0
i307916,31,0,0.0
i605868,26,0,0.0
i600153,25,0,0.0
i202638,32,0,0.0
i504295,21,0,0.0
i404517,34,0,0.0
i200280,30,0,0.0
i606577,32,0,0.0
i508453,34,0,0.0
i600498,27,0,0.0
i400960,19,0,0.0
i609615,29,0,0.0
i203967,16,0,0.0
i400133,29,0,0.0
i602207,33,0,0.0
i203393,26,0,0.0
i309801,23,0,0.0
i502594,19,0,0.0
i209207,31,0,0.0
i504074,37,0,0.0
